"","Player","Mat","Inns","NO","Runs","HS","Ave","BF","SR","X100","X50","X0","X4s","X6s","rank_score1"
"1","DA Warner",12,12,2,692,"100*",69.2,481,143.86,1,8,0,57,21,95.6128571428571
"13","MS Dhoni",15,12,7,416,"84*",83.2,309,134.62,0,3,0,22,23,94.7757142857143
"5","AD Russell",14,13,4,510,"80*",56.66,249,204.81,0,4,1,31,52,94.645
"10","JM Bairstow",10,10,2,445,"114",55.62,283,157.24,1,2,1,48,18,83.7085714285714
"2","KL Rahul",14,14,3,593,"100*",53.9,438,135.38,1,6,0,49,25,80.8671428571429
"16","HH Pandya",16,15,6,402,"91",44.66,210,191.42,0,1,1,28,29,79.4185714285714
"11","AB de Villiers",13,13,3,442,"82*",44.2,287,154,0,5,0,31,26,73.7142857142857
"6","CH Gayle",13,13,1,490,"99*",40.83,319,153.6,0,4,0,45,34,73.2214285714286
"7","RR Pant",16,16,3,488,"78*",37.53,300,162.66,0,3,0,37,27,70.5914285714286
"37","MP Stoinis",10,10,6,211,"46*",52.75,156,135.25,0,0,2,14,10,69.0892857142857
